BuildingType,YearBuilt,NumberofFloors,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions
NonResidential,1996,1,25735,Retail Store,82.0,1169394.875,18.1
NonResidential,2003,2,49965,Retail Store,82.0,3377209.75,29.54
NonResidential,1929,2,20028,Office,95.0,511797.4063,14.22
NonResidential,1900,7,23622,Office,100.0,552007.5,9.95
NonResidential,1902,3,23563,Office,67.0,883197.6875,6.16
NonResidential,1978,2,26160,Retail Store,55.0,2186018.5,15.24
NonResidential,1906,5,26840,Office,24.0,1989287.0,13.87
NonResidential,1906,2,46800,Retail Store,86.0,1245187.5,8.68
NonResidential,1979,3,37350,Office,51.0,2067352.5,14.63
NonResidential,1908,3,28800,Office,50.0,1345025.75,28.81
NonResidential,1954,3,28584,Office,75.0,1696978.75,60.43
NonResidential,1931,2,26270,Retail Store,32.0,1560461.75,33.78
NonResidential,1926,3,49800,Office,50.0,2385395.0,16.63
NonResidential,1990,5,57800,Hotel,87.0,2443065.25,66.29
NonResidential,1955,2,31890,Financial Office,2.0,1858224.625,12.95
NonResidential,1925,2,30438,Office,53.0,1441900.5,41.69
NonResidential,1952,4,26670,Medical Office,51.0,1553208.375,10.83
NonResidential,1967,4,44416,Hotel,61.0,2669564.25,72.78
NonResidential,1928,2,45991,Worship Facility,77.0,1145535.75,36.43
NonResidential,1921,3,21499,Residence Hall/Dormitory,85.0,605130.6875,4.22
NonResidential,1989,2,20384,Office,16.0,1791071.375,13.91
NonResidential,1956,2,54284,Retail Store,18.0,6778694.0,63.61
NonResidential,1956,1,23409,Retail Store,67.0,2545405.0,28.41
NonResidential,1927,4,32356,Financial Office,81.0,1857154.75,74.92
NonResidential,1960,7,48220,Hotel,24.0,3993913.25,126.3
NonResidential,1978,5,32256,Office,51.0,3460275.5,99.15
NonResidential,1910,2,23931,Worship Facility,88.0,496477.3125,18.66
NonResidential,1948,2,21393,Worship Facility,57.0,845961.375,32.64
NonResidential,1990,2,47560,Distribution Center,80.0,1132489.625,33.23
NonResidential,2006,6,62334,Senior Care Community,100.0,1076733.25,34.98
NonResidential,1957,2,21600,K-12 School,72.0,1261536.75,38.87
NonResidential,1995,3,22860,K-12 School,43.0,931148.625,6.49
NonResidential,1972,1,26366,Worship Facility,88.0,888031.875,32.22
NonResidential,1965,2,21732,Worship Facility,2.0,860364.1875,23.59
SPS-District K-12,1958,1,38624,K-12 School,83.0,1424157.25,38.78
NonResidential,1900,3,32960,Retail Store,71.0,813641.0,5.67
NonResidential,1930,3,20571,Hotel,72.0,716279.6875,4.99
