NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,BuildingAge,Energy_per_m2,Carbon_intensity_ratio,Age_x_Size,ENERGY_vs_type_mean
8,94948,81.0,48,39.423984707418796,6.97259063933714e-06,4557504,2628999.7780914395
7,106099,99.0,107,25.88677320238645,2.5548315288493074e-05,11352593,2628999.7780914395
2,89200,83.0,38,72.4432399103139,1.3845693636443685e-05,3389600,2274415.943082143
6,90803,88.0,14,48.744380692267875,6.972221368706249e-06,1271242,2628999.7780914395
5,137929,93.0,14,51.08675840468647,6.9709894299108665e-06,1931006,2628999.7780914395
5,50176,77.0,116,58.459995814732146,8.492174525948051e-06,5820416,2628999.7780914395
1,128800,97.0,39,14.045819099378882,4.362386521707047e-05,5023200,1334609.24919344
1,52311,96.0,56,17.789984420102847,5.227743305983496e-05,2929416,1334609.24919344
5,106465,60.0,15,54.51001737660264,6.971764354364823e-06,1596975,2628999.7780914395
1,52500,2.0,43,75.98855238095238,1.766431485043236e-05,2257500,1334609.24919344
4,79957,25.0,102,65.68694423252498,6.970503972577987e-06,8155614,2274415.943082143
6,96630,45.0,32,75.91747386939873,6.971191218316539e-06,3092160,2628999.7780914395
4,63540,72.0,110,55.37392980799496,2.1267830424081904e-05,6989400,2628999.7780914395
4,70000,72.0,17,64.99845714285715,6.971594051023629e-06,1190000,2628999.7780914395
4,52800,83.0,91,46.00418560606061,1.8311904261017093e-05,4804800,2628999.7780914395
1,123061,59.0,15,16.154058759477007,6.972060260784481e-06,1845915,1334609.24919344
1,59090,45.0,53,46.644351836182096,4.24894322911522e-05,3131770,1418871.6024444446
1,106000,93.0,53,7.201551886792453,6.9691477662374925e-06,5618000,1334609.24919344
1,119661,97.0,56,6.482723589975013,7.012756626486998e-06,6701016,1418871.6024444446
7,94472,81.0,15,45.96702726733847,6.970483330596875e-06,1417080,2628999.7780914395
6,61800,95.0,32,49.571270226537216,6.972406928078611e-06,1977600,2628999.7780914395
5,74880,56.0,42,68.57114716880342,6.972295350715707e-06,3144960,2628999.7780914395
6,88774,53.0,37,67.91539752630274,6.971164870371248e-06,3284638,2628999.7780914395
5,122250,93.0,33,45.28119427402863,6.971207953716527e-06,4034250,2628999.7780914395
4,53730,20.0,37,88.27226875116322,6.97046450154959e-06,1988010,2628999.7780914395
3,55593,55.0,56,75.99648337020848,2.2066938114700503e-05,3113208,2628999.7780914395
4,73096,54.0,34,64.23250246251504,6.971039622043138e-06,2485264,2628999.7780914395
4,58195,81.0,31,51.407762694389554,6.972683110020566e-06,1804045,2628999.7780914395
5,118248,95.0,7,47.96069278127326,7.135985397238283e-06,827736,2628999.7780914395
6,86700,96.0,12,37.34966551326413,6.9698871230331765e-06,1040400,2628999.7780914395
5,127800,56.0,102,21.65485915492958,1.067031473634422e-05,13035600,1334609.24919344
4,136143,97.0,10,50.81038687262657,1.7734785876096325e-05,1361430,2628999.7780914395
3,67380,66.0,62,40.8998070644108,2.6888460786209882e-05,4177560,1334609.24919344
5,67236,80.0,42,50.799590249271226,6.971035872947674e-06,2823912,2628999.7780914395
5,66762,69.0,44,54.41139795093017,6.970187788338356e-06,2937528,2628999.7780914395
5,66762,86.0,46,52.32158638147449,6.970897932527577e-06,3071052,2628999.7780914395
5,66400,75.0,45,52.4836671686747,6.970039876146208e-06,2988000,2628999.7780914395
4,98475,83.0,19,11.07384234577304,2.0577780330131698e-05,1871025,1334609.24919344
