NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,BuildingAge,Energy_per_m2,Carbon_intensity_ratio,Age_x_Size,ENERGY_vs_type_mean
5,82234,62.0,31,57.21400515601819,6.971401208071564e-06,2549254,2628999.7780914395
3,21118,49.0,28,64.46764608390946,2.901365863888113e-05,591304,2395087.953125
5,126842,98.0,3,35.395697008877185,1.609475637470179e-05,380526,2628999.7780914395
2,20500,48.0,116,64.69161585365853,8.49810427992092e-06,2378000,2628999.7780914395
2,25521,82.0,86,23.713267994984523,2.556237588403819e-05,2194806,997971.7780206897
1,23190,79.0,30,73.54528891763691,3.995273569087113e-05,695700,1996164.7493421054
1,20678,98.0,56,37.2537479446755,4.235830478507347e-05,1157968,2628999.7780914395
3,28820,43.0,94,90.06882373351839,4.100881294607197e-05,2709080,1996164.7493421054
2,27876,69.0,62,65.64720099727364,3.768890817263099e-05,1728312,997971.7780206897
1,48789,94.0,91,26.6106627518498,2.2652566644211153e-05,4439799,1996164.7493421054
1,33105,79.0,91,52.11708956351004,4.043849423554394e-05,3012555,1996164.7493421054
1,22320,62.0,39,19.671411572580645,6.969340948803248e-06,870480,1334609.24919344
2,40029,69.0,34,36.771197132079244,6.970514756549167e-06,1360986,2628999.7780914395
2,28304,67.0,46,44.84763637648389,6.971976200745647e-06,1301984,2628999.7780914395
2,25872,41.0,47,92.7393900742115,3.415920163494041e-05,1215984,2628999.7780914395
1,20500,65.0,47,10.85854116097561,6.963159689378352e-06,963500,1334609.24919344
2,21436,95.0,58,24.944191430304162,6.97582621402812e-06,1243288,2628999.7780914395
3,23307,94.0,31,48.31841292315613,2.4943230618992153e-05,722517,2628999.7780914395
2,25920,5.0,100,18.46798201388889,6.977374387437136e-06,2592000,2274415.943082143
2,25920,93.0,97,39.03038194444444,1.3551883400425536e-05,2514240,2274415.943082143
2,25920,75.0,97,69.20722897376544,2.59107307593975e-05,2514240,2628999.7780914395
5,27730,79.0,15,46.570690587811036,6.96915240200549e-06,415950,2628999.7780914395
2,20516,98.0,105,49.804865714564244,4.1143216733564766e-05,2154180,2274415.943082143
3,27480,88.0,110,44.21965975254731,6.9702970297029706e-06,3022800,2274415.943082143
1,46958,95.0,69,38.733929788321475,1.666970999748951e-05,3240102,2628999.7780914395
1,26532,5.0,32,72.9015622644354,3.4396218535673926e-05,849024,1418871.6024444446
2,35600,47.0,30,61.04336376404494,8.439386487893403e-06,1068000,2628999.7780914395
3,62000,81.0,67,29.02684072580645,4.5752981823761146e-05,4154000,997971.7780206897
2,23600,82.0,35,32.89189353813559,6.969415970832157e-06,826000,2628999.7780914395
3,40067,43.0,30,57.49701125614595,6.97129473894053e-06,1202010,2628999.7780914395
3,19497,67.0,27,55.13612350618044,6.967513155948573e-06,526419,2628999.7780914395
3,25262,54.0,37,58.17260114005225,1.6229388973712303e-05,934694,2628999.7780914395
3,34106,57.0,36,47.47484680114936,6.972677556817633e-06,1227816,2628999.7780914395
3,34545,29.0,36,66.98447676943118,6.970677669360619e-06,1243620,2628999.7780914395
