NumberofFloors,PropertyGFABuilding(s)_log,LargestPropertyUseType,LargestPropertyUseTypeGFA,Latitude,Longitude,NumberOfPropertyUseTypes,BuildingAge,Age_x_Size_log,Floor_density,size_x_type_mean,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Large Office,PrimaryPropertyType_Low-Rise Multifamily,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Other,PrimaryPropertyType_Refrigerated Warehouse,PrimaryPropertyType_Residence Hall,PrimaryPropertyType_Restaurant,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Self-Storage Facility,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Supermarket / Grocery Store,PrimaryPropertyType_University,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility,SiteEnergyUse(kBtu)
1,10.242812858139747,Distribution Center,25580.0,47.65791,-122.34274,2,104,14.88720375728112,28080.0,45433.204545454544,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,794724.625
1,10.000931817196982,Worship Facility,22898.0,47.72558,-122.3578,2,54,13.989915863761256,22047.0,32669.727272727272,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,265774.9063
1,10.360912399575003,Non-Refrigerated Warehouse,31600.0,47.5213,-122.32182,1,37,13.971830312219227,31600.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3363535.5
1,10.47132657962855,Non-Refrigerated Warehouse,35289.0,47.52024,-122.32137,1,9,12.66855115696477,35289.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,876425.0
1,10.272288676272701,Non-Refrigerated Warehouse,30000.0,47.51899,-122.321,1,35,13.827636737762115,28920.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1750419.0
1,10.00676590198963,Non-Refrigerated Warehouse,22176.0,47.5193,-122.3213,1,38,13.644352061716015,22176.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,736428.625
1,10.351373376528244,Non-Refrigerated Warehouse,31300.0,47.51968,-122.3212,1,38,13.98895953625463,31300.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,362874.0
1,9.998797732340453,Non-Refrigerated Warehouse,22000.0,47.51918,-122.31957,2,37,13.609715644984677,22000.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,700627.625
3,10.594808065754666,Office,39541.0,47.70079,-122.32714,2,42,14.332477684038034,13309.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3568419.5
2,9.93207500938804,Medical Office,26930.0,47.70007,-122.32533,1,36,13.51559394784415,10290.0,31194.944444444445,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1002995.0
